46 Q0 CACM-2711 1  21.672929764684 BM25
46 Q0 CACM-2990 2  21.59096335676486 BM25
46 Q0 CACM-0329 3  16.915029138555735 BM25
46 Q0 CACM-1457 4  16.77561630478449 BM25
46 Q0 CACM-1032 5  16.68120720510651 BM25
46 Q0 CACM-2631 6  14.458936916641624 BM25
46 Q0 CACM-1653 7  13.732827494599427 BM25
46 Q0 CACM-2451 8  13.318181331072818 BM25
46 Q0 CACM-2307 9  13.092209076678769 BM25
46 Q0 CACM-2542 10  12.229274217310213 BM25
46 Q0 CACM-2984 11  12.16811940897296 BM25
46 Q0 CACM-2882 12  12.083481325660376 BM25
46 Q0 CACM-2140 13  11.801196019432602 BM25
46 Q0 CACM-1699 14  11.75919423022659 BM25
46 Q0 CACM-1267 15  11.692189491039068 BM25
46 Q0 CACM-2575 16  11.67752334211866 BM25
46 Q0 CACM-1236 17  11.48337328658711 BM25
46 Q0 CACM-3169 18  11.469400936522794 BM25
46 Q0 CACM-2976 19  11.367293879364896 BM25
46 Q0 CACM-1675 20  11.093512129609987 BM25
46 Q0 CACM-2561 21  11.017290606148782 BM25
46 Q0 CACM-2991 22  10.724252236639508 BM25
46 Q0 CACM-2959 23  10.718270906200237 BM25
46 Q0 CACM-2965 24  10.533940343081891 BM25
46 Q0 CACM-3168 25  10.461331585635179 BM25
46 Q0 CACM-0891 26  10.409987448620939 BM25
46 Q0 CACM-0944 27  10.366427140340496 BM25
46 Q0 CACM-2478 28  10.249228169411627 BM25
46 Q0 CACM-2217 29  10.033256341886965 BM25
46 Q0 CACM-2318 30  9.994787346134528 BM25
46 Q0 CACM-2454 31  9.986241474279439 BM25
46 Q0 CACM-1948 32  9.932904590906142 BM25
46 Q0 CACM-1627 33  9.740446754017617 BM25
46 Q0 CACM-1935 34  9.697123899685563 BM25
46 Q0 CACM-2258 35  9.472135208501214 BM25
46 Q0 CACM-3089 36  9.424994350436188 BM25
46 Q0 CACM-2278 37  9.351953142663533 BM25
46 Q0 CACM-1926 38  9.346504825077565 BM25
46 Q0 CACM-3134 39  9.207006336549775 BM25
46 Q0 CACM-1938 40  9.178212142416545 BM25
46 Q0 CACM-1976 41  9.156160200516998 BM25
46 Q0 CACM-2288 42  9.127604919759984 BM25
46 Q0 CACM-2598 43  9.073615135680603 BM25
46 Q0 CACM-2669 44  9.057153764932574 BM25
46 Q0 CACM-2139 45  8.96870106203701 BM25
46 Q0 CACM-2641 46  8.889665230456654 BM25
46 Q0 CACM-2437 47  8.855203700918647 BM25
46 Q0 CACM-1652 48  8.815909296445716 BM25
46 Q0 CACM-2346 49  8.741060698947745 BM25
46 Q0 CACM-1415 50  8.713584712761177 BM25
46 Q0 CACM-2568 51  8.626672785174913 BM25
46 Q0 CACM-1029 52  8.614852333354193 BM25
46 Q0 CACM-1516 53  8.586170717368663 BM25
46 Q0 CACM-1048 54  8.502441446293105 BM25
46 Q0 CACM-1272 55  8.480825808184873 BM25
46 Q0 CACM-2059 56  8.37875812598228 BM25
46 Q0 CACM-1792 57  8.325896267310425 BM25
46 Q0 CACM-1927 58  8.3220177248025 BM25
46 Q0 CACM-0696 59  8.271480390840773 BM25
46 Q0 CACM-1173 60  8.260863797044005 BM25
46 Q0 CACM-2094 61  8.257570173094788 BM25
46 Q0 CACM-2265 62  8.244195709515829 BM25
46 Q0 CACM-2268 63  8.23350770971636 BM25
46 Q0 CACM-2835 64  8.229347015612005 BM25
46 Q0 CACM-2327 65  8.200500148508864 BM25
46 Q0 CACM-1194 66  8.17921418744159 BM25
46 Q0 CACM-1830 67  8.146544642957501 BM25
46 Q0 CACM-1290 68  8.002381908068761 BM25
46 Q0 CACM-1681 69  7.987186868666872 BM25
46 Q0 CACM-2518 70  7.910873071191257 BM25
46 Q0 CACM-2577 71  7.895088956773119 BM25
46 Q0 CACM-2107 72  7.861646576207631 BM25
46 Q0 CACM-2319 73  7.799268106164126 BM25
46 Q0 CACM-1934 74  7.730655604273945 BM25
46 Q0 CACM-0275 75  7.729485432747574 BM25
46 Q0 CACM-2253 76  7.697888747200974 BM25
46 Q0 CACM-2789 77  7.696994051779442 BM25
46 Q0 CACM-2070 78  7.670963349081561 BM25
46 Q0 CACM-0987 79  7.603024874532085 BM25
46 Q0 CACM-1087 80  7.5888497764597505 BM25
46 Q0 CACM-2050 81  7.587342724394684 BM25
46 Q0 CACM-0397 82  7.573016665254007 BM25
46 Q0 CACM-0675 83  7.566617980797521 BM25
46 Q0 CACM-2699 84  7.55193462538682 BM25
46 Q0 CACM-1858 85  7.516494667451818 BM25
46 Q0 CACM-1651 86  7.449546363643504 BM25
46 Q0 CACM-2532 87  7.44338247052155 BM25
46 Q0 CACM-2842 88  7.398330775788404 BM25
46 Q0 CACM-1108 89  7.38155284199334 BM25
46 Q0 CACM-1911 90  7.357191394842029 BM25
46 Q0 CACM-3093 91  7.326586637203198 BM25
46 Q0 CACM-2552 92  7.306080778055307 BM25
46 Q0 CACM-3048 93  7.289438090608078 BM25
46 Q0 CACM-2812 94  7.257942744028466 BM25
46 Q0 CACM-0292 95  7.232866971530019 BM25
46 Q0 CACM-1831 96  7.232866971530019 BM25
46 Q0 CACM-2453 97  7.223553006848073 BM25
46 Q0 CACM-1136 98  7.222939214308175 BM25
46 Q0 CACM-2765 99  7.219745799504335 BM25
46 Q0 CACM-2452 100  7.1890667579741745 BM25
