43 Q0 CACM-3046 1  32.56290451809611 SMQ 
43 Q0 CACM-2569 2  31.314085695314457 SMQ 
43 Q0 CACM-2847 3  31.039212032963363 SMQ 
43 Q0 CACM-2771 4  31.009454433097595 SMQ 
43 Q0 CACM-3125 5  30.932562155352958 SMQ 
43 Q0 CACM-3098 6  30.820839235768773 SMQ 
43 Q0 CACM-2455 7  30.30356575256542 SMQ 
43 Q0 CACM-2754 8  29.21813911433709 SMQ 
43 Q0 CACM-3107 9  29.0686166744467 SMQ 
43 Q0 CACM-3052 10  28.85983722650056 SMQ 
43 Q0 CACM-2883 11  28.462949655371624 SMQ 
43 Q0 CACM-2829 12  26.65494053656717 SMQ 
43 Q0 CACM-1528 13  25.268184540709356 SMQ 
43 Q0 CACM-2341 14  24.48773031986476 SMQ 
43 Q0 CACM-1553 15  21.401869447048895 SMQ 
43 Q0 CACM-2113 16  20.536567658848377 SMQ 
43 Q0 CACM-1272 17  20.411584372107274 SMQ 
43 Q0 CACM-2232 18  18.563210008213566 SMQ 
43 Q0 CACM-1399 19  18.244541992969726 SMQ 
43 Q0 CACM-1260 20  17.032343560896823 SMQ 
43 Q0 CACM-2054 21  16.466127414415986 SMQ 
43 Q0 CACM-2924 22  16.43861018491245 SMQ 
43 Q0 CACM-2308 23  16.27380684680132 SMQ 
43 Q0 CACM-0462 24  16.220418280471403 SMQ 
43 Q0 CACM-2402 25  16.201220992620136 SMQ 
43 Q0 CACM-3049 26  15.54663669986433 SMQ 
43 Q0 CACM-3143 27  15.467244784677725 SMQ 
43 Q0 CACM-1518 28  15.383428065565557 SMQ 
43 Q0 CACM-2751 29  15.262966456155707 SMQ 
43 Q0 CACM-0633 30  15.086043803151542 SMQ 
43 Q0 CACM-1855 31  15.02987226239825 SMQ 
43 Q0 CACM-1404 32  14.939158775203381 SMQ 
43 Q0 CACM-2812 33  14.905151414973325 SMQ 
43 Q0 CACM-1653 34  14.895496273881644 SMQ 
43 Q0 CACM-2494 35  14.800462521781935 SMQ 
43 Q0 CACM-2828 36  14.740508266267415 SMQ 
43 Q0 CACM-2556 37  14.731643697632855 SMQ 
43 Q0 CACM-2988 38  14.690734599118946 SMQ 
43 Q0 CACM-2841 39  14.687152396345628 SMQ 
43 Q0 CACM-1366 40  14.572082128230052 SMQ 
43 Q0 CACM-2367 41  14.492458768573282 SMQ 
43 Q0 CACM-3197 42  14.475262891005404 SMQ 
43 Q0 CACM-2153 43  14.346777677734181 SMQ 
43 Q0 CACM-1590 44  14.308717494848047 SMQ 
43 Q0 CACM-1726 45  14.290785878691551 SMQ 
43 Q0 CACM-1769 46  14.28895600693287 SMQ 
43 Q0 CACM-0825 47  14.25480514057412 SMQ 
43 Q0 CACM-1381 48  14.230036263630696 SMQ 
43 Q0 CACM-2811 49  14.206185434942894 SMQ 
43 Q0 CACM-2303 50  14.176123990473933 SMQ 
43 Q0 CACM-2339 51  14.174440134051894 SMQ 
43 Q0 CACM-3100 52  14.167133369205281 SMQ 
43 Q0 CACM-2287 53  14.126174394702572 SMQ 
43 Q0 CACM-3135 54  14.122316828514494 SMQ 
43 Q0 CACM-2310 55  14.09300703092885 SMQ 
43 Q0 CACM-2968 56  14.052653010034152 SMQ 
43 Q0 CACM-1771 57  14.011821755974726 SMQ 
43 Q0 CACM-2966 58  13.923460534316252 SMQ 
43 Q0 CACM-2746 59  13.899372212255532 SMQ 
43 Q0 CACM-3047 60  13.89728484882558 SMQ 
43 Q0 CACM-2387 61  13.891689710273726 SMQ 
43 Q0 CACM-3055 62  13.889010580257688 SMQ 
43 Q0 CACM-1265 63  13.849352852461237 SMQ 
43 Q0 CACM-1604 64  13.789233668279408 SMQ 
43 Q0 CACM-0409 65  13.70824005764084 SMQ 
43 Q0 CACM-1045 66  13.58151810811689 SMQ 
43 Q0 CACM-3170 67  13.556875280434664 SMQ 
43 Q0 CACM-3165 68  13.553672807678433 SMQ 
43 Q0 CACM-2030 69  13.492338853938383 SMQ 
43 Q0 CACM-1308 70  13.471741094168253 SMQ 
43 Q0 CACM-2947 71  13.451745872326812 SMQ 
43 Q0 CACM-3078 72  13.404641488815944 SMQ 
43 Q0 CACM-0531 73  13.350669825267062 SMQ 
43 Q0 CACM-2321 74  13.316910380021515 SMQ 
43 Q0 CACM-1135 75  13.296072161188777 SMQ 
43 Q0 CACM-2302 76  13.28836065054565 SMQ 
43 Q0 CACM-3149 77  13.22613424081196 SMQ 
43 Q0 CACM-2372 78  13.158136652486213 SMQ 
43 Q0 CACM-2910 79  13.107832014007602 SMQ 
