2 Q0 CACM-1364 1  0.4078646235550989 TF-IDF 
2 Q0 CACM-0727 2  0.38327540145156636 TF-IDF 
2 Q0 CACM-0335 3  0.34389616929233935 TF-IDF 
2 Q0 CACM-0204 4  0.3010514634048492 TF-IDF 
2 Q0 CACM-0171 5  0.25584908605632434 TF-IDF 
2 Q0 CACM-2845 6  0.24708979599161093 TF-IDF 
2 Q0 CACM-2434 7  0.23191762594588836 TF-IDF 
2 Q0 CACM-0408 8  0.22936129890688445 TF-IDF 
2 Q0 CACM-0210 9  0.2287991121876854 TF-IDF 
2 Q0 CACM-2039 10  0.22845929606042892 TF-IDF 
2 Q0 CACM-0597 11  0.21592268642696974 TF-IDF 
2 Q0 CACM-0200 12  0.2052835805949851 TF-IDF 
2 Q0 CACM-0201 13  0.2052835805949851 TF-IDF 
2 Q0 CACM-0372 14  0.20472889831224023 TF-IDF 
2 Q0 CACM-0394 15  0.20472889831224023 TF-IDF 
2 Q0 CACM-0853 16  0.20472889831224023 TF-IDF 
2 Q0 CACM-1105 17  0.20472889831224023 TF-IDF 
2 Q0 CACM-1821 18  0.20054676745177186 TF-IDF 
2 Q0 CACM-0477 19  0.19595250874975853 TF-IDF 
2 Q0 CACM-0798 20  0.1939536931379118 TF-IDF 
2 Q0 CACM-2352 21  0.18867195488213967 TF-IDF 
2 Q0 CACM-0452 22  0.18743283445629075 TF-IDF 
2 Q0 CACM-3028 23  0.18539788844661184 TF-IDF 
2 Q0 CACM-1139 24  0.18425600848101623 TF-IDF 
2 Q0 CACM-1702 25  0.18425600848101623 TF-IDF 
2 Q0 CACM-0246 26  0.17802988695740923 TF-IDF 
2 Q0 CACM-0391 27  0.17548191283906306 TF-IDF 
2 Q0 CACM-1136 28  0.1675054622554693 TF-IDF 
2 Q0 CACM-1990 29  0.1675054622554693 TF-IDF 
2 Q0 CACM-0626 30  0.1632267476650501 TF-IDF 
2 Q0 CACM-2422 31  0.1602226160704489 TF-IDF 
2 Q0 CACM-2863 32  0.15986714033446447 TF-IDF 
2 Q0 CACM-1732 33  0.15966500712943288 TF-IDF 
2 Q0 CACM-1977 34  0.15914982924930182 TF-IDF 
2 Q0 CACM-1012 35  0.1584009384829626 TF-IDF 
2 Q0 CACM-1519 36  0.15777985840325615 TF-IDF 
2 Q0 CACM-0407 37  0.15354667373418018 TF-IDF 
2 Q0 CACM-3078 38  0.15345945638841044 TF-IDF 
2 Q0 CACM-0108 39  0.1506209740680616 TF-IDF 
2 Q0 CACM-0497 40  0.14907087205526295 TF-IDF 
2 Q0 CACM-2199 41  0.14865362732740303 TF-IDF 
2 Q0 CACM-0563 42  0.14750793534503273 TF-IDF 
2 Q0 CACM-0569 43  0.14750793534503273 TF-IDF 
2 Q0 CACM-0740 44  0.14750793534503273 TF-IDF 
2 Q0 CACM-2439 45  0.14598751390684547 TF-IDF 
2 Q0 CACM-3202 46  0.1457200110317934 TF-IDF 
2 Q0 CACM-0847 47  0.14428926926733335 TF-IDF 
2 Q0 CACM-1994 48  0.14173539113924327 TF-IDF 
2 Q0 CACM-2472 49  0.14173539113924327 TF-IDF 
2 Q0 CACM-1062 50  0.1398519507574998 TF-IDF 
2 Q0 CACM-0290 51  0.13931305004808645 TF-IDF 
2 Q0 CACM-0459 52  0.13931305004808645 TF-IDF 
2 Q0 CACM-0998 53  0.13931305004808645 TF-IDF 
2 Q0 CACM-2143 54  0.13767953464372357 TF-IDF 
2 Q0 CACM-1096 55  0.13648593220816016 TF-IDF 
2 Q0 CACM-1981 56  0.13648593220816016 TF-IDF 
2 Q0 CACM-2440 57  0.13648593220816016 TF-IDF 
2 Q0 CACM-0069 58  0.13461382385814286 TF-IDF 
2 Q0 CACM-1183 59  0.134329127043433 TF-IDF 
2 Q0 CACM-0890 60  0.13314200313151126 TF-IDF 
2 Q0 CACM-0269 61  0.1319807842560819 TF-IDF 
2 Q0 CACM-0645 62  0.1319807842560819 TF-IDF 
2 Q0 CACM-0673 63  0.1319807842560819 TF-IDF 
2 Q0 CACM-0741 64  0.1319807842560819 TF-IDF 
2 Q0 CACM-0742 65  0.1319807842560819 TF-IDF 
2 Q0 CACM-0772 66  0.1319807842560819 TF-IDF 
2 Q0 CACM-0993 67  0.1319807842560819 TF-IDF 
2 Q0 CACM-1320 68  0.1319807842560819 TF-IDF 
2 Q0 CACM-2638 69  0.1319807842560819 TF-IDF 
2 Q0 CACM-2917 70  0.1316114346292973 TF-IDF 
2 Q0 CACM-3188 71  0.13065860871658858 TF-IDF 
2 Q0 CACM-0363 72  0.12932539404761076 TF-IDF 
2 Q0 CACM-2735 73  0.12919934699716884 TF-IDF 
2 Q0 CACM-1264 74  0.12910525639590456 TF-IDF 
2 Q0 CACM-1619 75  0.12906266185259746 TF-IDF 
2 Q0 CACM-2219 76  0.1287510150723256 TF-IDF 
2 Q0 CACM-2976 77  0.12831847709291783 TF-IDF 
2 Q0 CACM-3129 78  0.12767841341882 TF-IDF 
2 Q0 CACM-1941 79  0.12707310929725257 TF-IDF 
2 Q0 CACM-1931 80  0.12615927467188423 TF-IDF 
2 Q0 CACM-2194 81  0.12542926007542524 TF-IDF 
2 Q0 CACM-0279 82  0.12538174504327781 TF-IDF 
2 Q0 CACM-0437 83  0.12538174504327781 TF-IDF 
2 Q0 CACM-0622 84  0.12538174504327781 TF-IDF 
2 Q0 CACM-0623 85  0.12538174504327781 TF-IDF 
2 Q0 CACM-0624 86  0.12538174504327781 TF-IDF 
2 Q0 CACM-3171 87  0.1252208850888727 TF-IDF 
2 Q0 CACM-2905 88  0.12313767667707394 TF-IDF 
2 Q0 CACM-1046 89  0.12293538205962681 TF-IDF 
2 Q0 CACM-0242 90  0.1222426107152492 TF-IDF 
2 Q0 CACM-1259 91  0.12075877366634472 TF-IDF 
2 Q0 CACM-0130 92  0.11941118575550268 TF-IDF 
2 Q0 CACM-0131 93  0.11941118575550268 TF-IDF 
2 Q0 CACM-0517 94  0.11941118575550268 TF-IDF 
2 Q0 CACM-1537 95  0.11941118575550268 TF-IDF 
2 Q0 CACM-1538 96  0.11941118575550268 TF-IDF 
2 Q0 CACM-2386 97  0.11941118575550268 TF-IDF 
2 Q0 CACM-3144 98  0.11940903876898327 TF-IDF 
2 Q0 CACM-1305 99  0.11897324528390998 TF-IDF 
2 Q0 CACM-2663 100  0.11818807100663482 TF-IDF 
