3 Q0 CACM-2266 1  15.350208310081129 SMQ-stem 
3 Q0 CACM-2714 2  14.36702087400229 SMQ-stem 
3 Q0 CACM-0950 3  13.56269214878536 SMQ-stem 
3 Q0 CACM-2289 4  13.11467267633125 SMQ-stem 
3 Q0 CACM-2723 5  12.869777245665267 SMQ-stem 
3 Q0 CACM-2433 6  12.670845629304885 SMQ-stem 
3 Q0 CACM-2973 7  12.583941115048631 SMQ-stem 
3 Q0 CACM-1601 8  12.431595975568568 SMQ-stem 
3 Q0 CACM-2060 9  12.424991037258913 SMQ-stem 
3 Q0 CACM-3075 10  12.347453952966406 SMQ-stem 
3 Q0 CACM-2785 11  12.069755779311906 SMQ-stem 
3 Q0 CACM-2557 12  11.738739116520996 SMQ-stem 
3 Q0 CACM-2692 13  11.70690976570991 SMQ-stem 
3 Q0 CACM-2401 14  11.660518926753216 SMQ-stem 
3 Q0 CACM-1613 15  11.476703225729946 SMQ-stem 
3 Q0 CACM-3156 16  11.4470458812497 SMQ-stem 
3 Q0 CACM-1957 17  11.046172326248344 SMQ-stem 
3 Q0 CACM-2570 18  11.046172326248344 SMQ-stem 
3 Q0 CACM-2195 19  10.97968146735495 SMQ-stem 
3 Q0 CACM-2838 20  10.807292171814263 SMQ-stem 
3 Q0 CACM-2114 21  10.379174101832254 SMQ-stem 
3 Q0 CACM-2515 22  10.115073130939662 SMQ-stem 
3 Q0 CACM-3175 23  10.115073130939662 SMQ-stem 
3 Q0 CACM-1468 24  9.674687240473967 SMQ-stem 
3 Q0 CACM-1959 25  9.674687240473967 SMQ-stem 
3 Q0 CACM-2342 26  8.878194596045335 SMQ-stem 
3 Q0 CACM-2700 27  8.65508589302489 SMQ-stem 
3 Q0 CACM-1811 28  8.367461898364178 SMQ-stem 
3 Q0 CACM-1828 29  8.367461898364178 SMQ-stem 
3 Q0 CACM-2865 30  8.367461898364178 SMQ-stem 
3 Q0 CACM-2896 31  8.367461898364178 SMQ-stem 
3 Q0 CACM-1854 32  7.962112935720041 SMQ-stem 
3 Q0 CACM-3073 33  7.962112935720041 SMQ-stem 
3 Q0 CACM-2685 34  7.856791132219358 SMQ-stem 
3 Q0 CACM-3059 35  7.856791132219358 SMQ-stem 
3 Q0 CACM-1262 36  7.8080203235665255 SMQ-stem 
3 Q0 CACM-1008 37  7.674546995244087 SMQ-stem 
3 Q0 CACM-1158 38  7.674546995244087 SMQ-stem 
3 Q0 CACM-1341 39  7.674546995244087 SMQ-stem 
3 Q0 CACM-1569 40  7.674546995244087 SMQ-stem 
3 Q0 CACM-1795 41  7.674546995244087 SMQ-stem 
3 Q0 CACM-2311 42  7.674546995244087 SMQ-stem 
3 Q0 CACM-2175 43  7.520473729242147 SMQ-stem 
3 Q0 CACM-2664 44  7.451519562420632 SMQ-stem 
3 Q0 CACM-1409 45  7.269314110635496 SMQ-stem 
3 Q0 CACM-1846 46  7.269314110635496 SMQ-stem 
3 Q0 CACM-2182 47  7.269314110635496 SMQ-stem 
3 Q0 CACM-3194 48  7.269314110635496 SMQ-stem 
3 Q0 CACM-2851 49  7.115279522338247 SMQ-stem 
3 Q0 CACM-2273 50  6.982359901977958 SMQ-stem 
3 Q0 CACM-0046 51  6.981864207768054 SMQ-stem 
3 Q0 CACM-1747 52  6.981864207768054 SMQ-stem 
3 Q0 CACM-2080 53  6.981864207768054 SMQ-stem 
3 Q0 CACM-2497 54  6.981864207768054 SMQ-stem 
3 Q0 CACM-2660 55  6.981864207768054 SMQ-stem 
3 Q0 CACM-2366 56  6.800223950031816 SMQ-stem 
3 Q0 CACM-2674 57  6.800223950031816 SMQ-stem 
3 Q0 CACM-2767 58  6.800223950031816 SMQ-stem 
3 Q0 CACM-2963 59  6.800223950031816 SMQ-stem 
3 Q0 CACM-3071 60  6.800223950031816 SMQ-stem 
3 Q0 CACM-1603 61  6.75895277214798 SMQ-stem 
3 Q0 CACM-2895 62  6.75895277214798 SMQ-stem 
3 Q0 CACM-1847 63  6.577358741413132 SMQ-stem 
3 Q0 CACM-1961 64  6.577358741413132 SMQ-stem 
3 Q0 CACM-2200 65  6.577358741413132 SMQ-stem 
3 Q0 CACM-3018 66  6.577358741413132 SMQ-stem 
3 Q0 CACM-3141 67  6.577358741413132 SMQ-stem 
3 Q0 CACM-1928 68  6.5768632771829685 SMQ-stem 
3 Q0 CACM-1960 69  6.5768632771829685 SMQ-stem 
3 Q0 CACM-0320 70  6.422944605344454 SMQ-stem 
3 Q0 CACM-1200 71  6.422944605344454 SMQ-stem 
3 Q0 CACM-1554 72  6.422944605344454 SMQ-stem 
