51 Q0 CACM-3075 1  12.603474651541463 SMQ 
51 Q0 CACM-3156 2  12.005681659478256 SMQ 
51 Q0 CACM-2570 3  10.087298174558043 SMQ 
51 Q0 CACM-2714 4  9.844152506427763 SMQ 
51 Q0 CACM-2723 5  9.836790344096446 SMQ 
51 Q0 CACM-1811 6  9.81637714388951 SMQ 
51 Q0 CACM-3006 7  8.819437772740958 SMQ 
51 Q0 CACM-2973 8  7.990639985346748 SMQ 
51 Q0 CACM-2497 9  7.6544046892574205 SMQ 
51 Q0 CACM-2175 10  7.632949146702819 SMQ 
51 Q0 CACM-2863 11  7.394929268960498 SMQ 
51 Q0 CACM-2365 12  7.3755875895440735 SMQ 
51 Q0 CACM-1752 13  7.272631644645154 SMQ 
51 Q0 CACM-2266 14  7.015598808727772 SMQ 
51 Q0 CACM-2128 15  6.940314516242914 SMQ 
51 Q0 CACM-2450 16  6.937276266839561 SMQ 
51 Q0 CACM-2557 17  6.891797607265634 SMQ 
51 Q0 CACM-2740 18  6.812169345132286 SMQ 
51 Q0 CACM-1924 19  6.789911179941435 SMQ 
51 Q0 CACM-0950 20  6.681250208761389 SMQ 
51 Q0 CACM-1601 21  6.670180896711561 SMQ 
51 Q0 CACM-2373 22  6.607744852516971 SMQ 
51 Q0 CACM-1810 23  6.3942388136482045 SMQ 
51 Q0 CACM-1728 24  6.364205971330939 SMQ 
51 Q0 CACM-1468 25  6.360706266548341 SMQ 
51 Q0 CACM-3153 26  6.2280244797379165 SMQ 
51 Q0 CACM-2838 27  6.202521756474466 SMQ 
51 Q0 CACM-2579 28  6.180968326157817 SMQ 
51 Q0 CACM-2289 29  6.154492952585397 SMQ 
51 Q0 CACM-2022 30  6.041566439113641 SMQ 
51 Q0 CACM-2085 31  6.041566439113641 SMQ 
51 Q0 CACM-2645 32  6.017288652530953 SMQ 
51 Q0 CACM-2498 33  5.970815903693699 SMQ 
51 Q0 CACM-3152 34  5.877500378233512 SMQ 
51 Q0 CACM-2433 35  5.864334158997254 SMQ 
51 Q0 CACM-0082 36  5.78443644750913 SMQ 
51 Q0 CACM-1957 37  5.749990316406802 SMQ 
51 Q0 CACM-2114 38  5.654732922380653 SMQ 
51 Q0 CACM-0763 39  5.544112687269563 SMQ 
51 Q0 CACM-1964 40  5.499666842193962 SMQ 
51 Q0 CACM-2692 41  5.436998411223744 SMQ 
51 Q0 CACM-2522 42  5.42167022221896 SMQ 
51 Q0 CACM-2872 43  5.245960766165151 SMQ 
51 Q0 CACM-2277 44  5.20422234545705 SMQ 
51 Q0 CACM-0141 45  5.086858833522996 SMQ 
51 Q0 CACM-1825 46  5.061045896898988 SMQ 
51 Q0 CACM-0392 47  4.987425415608545 SMQ 
51 Q0 CACM-1302 48  4.987425415608545 SMQ 
51 Q0 CACM-2685 49  4.956389458451886 SMQ 
51 Q0 CACM-2068 50  4.947698540540767 SMQ 
51 Q0 CACM-1884 51  4.902770586143738 SMQ 
51 Q0 CACM-1988 52  4.900190484790715 SMQ 
51 Q0 CACM-2669 53  4.871078471024545 SMQ 
51 Q0 CACM-2017 54  4.869945026515109 SMQ 
51 Q0 CACM-1158 55  4.8548682923472875 SMQ 
51 Q0 CACM-1665 56  4.8422932133422645 SMQ 
51 Q0 CACM-1262 57  4.804501632562519 SMQ 
51 Q0 CACM-1367 58  4.738058577777179 SMQ 
51 Q0 CACM-2896 59  4.738058577777179 SMQ 
51 Q0 CACM-2700 60  4.710902785908584 SMQ 
51 Q0 CACM-2182 61  4.702015163559075 SMQ 
51 Q0 CACM-0303 62  4.6919554099190135 SMQ 
51 Q0 CACM-2664 63  4.662380248783955 SMQ 
51 Q0 CACM-1828 64  4.658745239721155 SMQ 
51 Q0 CACM-1923 65  4.6479203214352385 SMQ 
51 Q0 CACM-1795 66  4.601204528833853 SMQ 
51 Q0 CACM-2881 67  4.595896561307305 SMQ 
51 Q0 CACM-2952 68  4.509802324305256 SMQ 
51 Q0 CACM-1684 69  4.501526512669095 SMQ 
51 Q0 CACM-0371 70  4.49448827070072 SMQ 
51 Q0 CACM-2069 71  4.463806011253221 SMQ 
51 Q0 CACM-2785 72  4.453290797337045 SMQ 
51 Q0 CACM-2297 73  4.430675916244225 SMQ 
51 Q0 CACM-2007 74  4.390368140487967 SMQ 
51 Q0 CACM-1389 75  4.385129023131597 SMQ 
51 Q0 CACM-2895 76  4.336961728950233 SMQ 
51 Q0 CACM-1952 77  4.26685645510694 SMQ 
51 Q0 CACM-1753 78  4.252539891424924 SMQ 
51 Q0 CACM-2667 79  4.2495299638485715 SMQ 
51 Q0 CACM-1852 80  4.242484339376351 SMQ 
51 Q0 CACM-2914 81  4.225780423418571 SMQ 
51 Q0 CACM-2016 82  4.217021948964434 SMQ 
51 Q0 CACM-1342 83  4.210522748436171 SMQ 
51 Q0 CACM-1660 84  4.210522748436171 SMQ 
51 Q0 CACM-2325 85  4.19693549686776 SMQ 
51 Q0 CACM-3059 86  4.155902663851274 SMQ 
51 Q0 CACM-1569 87  4.129303259274235 SMQ 
51 Q0 CACM-2342 88  4.129303259274235 SMQ 
51 Q0 CACM-2741 89  4.125562282257728 SMQ 
51 Q0 CACM-1025 90  4.11812341614841 SMQ 
51 Q0 CACM-2865 91  4.116272597347854 SMQ 
51 Q0 CACM-2166 92  4.109822461951711 SMQ 
51 Q0 CACM-3088 93  4.109822461951711 SMQ 
51 Q0 CACM-0270 94  4.106809609491277 SMQ 
51 Q0 CACM-0804 95  4.106809609491277 SMQ 
51 Q0 CACM-2884 96  4.106809609491277 SMQ 
51 Q0 CACM-2401 97  4.084443523574787 SMQ 
51 Q0 CACM-2851 98  4.0831918913778456 SMQ 
51 Q0 CACM-1796 99  4.082528417389071 SMQ 
51 Q0 CACM-3073 100  4.081317475919988 SMQ 
