42 Q0 CACM-2641 1  0.5671536242760211 TF-IDF 
42 Q0 CACM-0204 2  0.4352005959963838 TF-IDF 
42 Q0 CACM-2318 3  0.3376553469437086 TF-IDF 
42 Q0 CACM-2231 4  0.2999707921811721 TF-IDF 
42 Q0 CACM-1374 5  0.29478470270122 TF-IDF 
42 Q0 CACM-1653 6  0.29321056038511145 TF-IDF 
42 Q0 CACM-0436 7  0.2631131543332426 TF-IDF 
42 Q0 CACM-2984 8  0.2629913913355635 TF-IDF 
42 Q0 CACM-2528 9  0.26108410435181295 TF-IDF 
42 Q0 CACM-2529 10  0.26108410435181295 TF-IDF 
42 Q0 CACM-0633 11  0.2584003538728529 TF-IDF 
42 Q0 CACM-2788 12  0.2505700401191301 TF-IDF 
42 Q0 CACM-2789 13  0.2503275432148506 TF-IDF 
42 Q0 CACM-2019 14  0.24991590232246802 TF-IDF 
42 Q0 CACM-2910 15  0.24320033305680272 TF-IDF 
42 Q0 CACM-0462 16  0.23260446044044492 TF-IDF 
42 Q0 CACM-2942 17  0.23124592099732003 TF-IDF 
42 Q0 CACM-2107 18  0.22326510611054246 TF-IDF 
42 Q0 CACM-2545 19  0.22235184711280773 TF-IDF 
42 Q0 CACM-2215 20  0.22059586598356065 TF-IDF 
42 Q0 CACM-2370 21  0.20320239031250792 TF-IDF 
42 Q0 CACM-1335 22  0.201047986022771 TF-IDF 
42 Q0 CACM-0819 23  0.1994131812390606 TF-IDF 
42 Q0 CACM-1177 24  0.18833467117022387 TF-IDF 
42 Q0 CACM-2232 25  0.18722325164095446 TF-IDF 
42 Q0 CACM-2402 26  0.1814998443479396 TF-IDF 
42 Q0 CACM-2494 27  0.1813078166113196 TF-IDF 
42 Q0 CACM-2811 28  0.1810688611079845 TF-IDF 
42 Q0 CACM-0360 29  0.17842232005600156 TF-IDF 
42 Q0 CACM-0741 30  0.17842232005600156 TF-IDF 
42 Q0 CACM-0742 31  0.17842232005600156 TF-IDF 
42 Q0 CACM-1093 32  0.17842232005600156 TF-IDF 
42 Q0 CACM-1128 33  0.17842232005600156 TF-IDF 
42 Q0 CACM-1689 34  0.17842232005600156 TF-IDF 
42 Q0 CACM-3169 35  0.17842232005600156 TF-IDF 
42 Q0 CACM-1938 36  0.17683436947396225 TF-IDF 
42 Q0 CACM-3089 37  0.17450133009265248 TF-IDF 
42 Q0 CACM-1940 38  0.17384738877251435 TF-IDF 
42 Q0 CACM-2894 39  0.17250321084117043 TF-IDF 
42 Q0 CACM-2329 40  0.1724063412072407 TF-IDF 
42 Q0 CACM-0444 41  0.16950120405320152 TF-IDF 
42 Q0 CACM-0268 42  0.16142971814590618 TF-IDF 
42 Q0 CACM-0517 43  0.16142971814590618 TF-IDF 
42 Q0 CACM-0966 44  0.16142971814590618 TF-IDF 
42 Q0 CACM-2319 45  0.15744825530182924 TF-IDF 
42 Q0 CACM-0362 46  0.15579428606249565 TF-IDF 
42 Q0 CACM-0535 47  0.15564629297896543 TF-IDF 
42 Q0 CACM-0678 48  0.15516163130213345 TF-IDF 
42 Q0 CACM-0575 49  0.15409200368472864 TF-IDF 
42 Q0 CACM-0589 50  0.15409200368472864 TF-IDF 
42 Q0 CACM-0590 51  0.15409200368472864 TF-IDF 
42 Q0 CACM-0708 52  0.15409200368472864 TF-IDF 
42 Q0 CACM-2054 53  0.15177846118787094 TF-IDF 
42 Q0 CACM-2553 54  0.15085554855633562 TF-IDF 
42 Q0 CACM-2575 55  0.14884340407369495 TF-IDF 
42 Q0 CACM-2974 56  0.14884340407369495 TF-IDF 
42 Q0 CACM-1399 57  0.14814062127993652 TF-IDF 
42 Q0 CACM-0574 58  0.14739235135061 TF-IDF 
42 Q0 CACM-3119 59  0.14608056608718623 TF-IDF 
42 Q0 CACM-3132 60  0.14488958754569872 TF-IDF 
42 Q0 CACM-2542 61  0.14381769888006224 TF-IDF 
42 Q0 CACM-1792 62  0.14298570444342254 TF-IDF 
42 Q0 CACM-2502 63  0.14198169275890413 TF-IDF 
