3 Q0 CACM-2266 1  7.081625928554344 TF-IDF-stem 
3 Q0 CACM-2342 2  6.049173419496555 TF-IDF-stem 
3 Q0 CACM-2714 3  5.736253612780084 TF-IDF-stem 
3 Q0 CACM-2700 4  4.839338735597244 TF-IDF-stem 
3 Q0 CACM-0950 5  4.038846514449794 TF-IDF-stem 
3 Q0 CACM-1811 6  3.6295040516979333 TF-IDF-stem 
3 Q0 CACM-1828 7  3.6295040516979333 TF-IDF-stem 
3 Q0 CACM-2865 8  3.6295040516979333 TF-IDF-stem 
3 Q0 CACM-2896 9  3.6295040516979333 TF-IDF-stem 
3 Q0 CACM-1601 10  3.0673402264590917 TF-IDF-stem 
3 Q0 CACM-2433 11  2.8264128727853017 TF-IDF-stem 
3 Q0 CACM-2785 12  2.5561168553825757 TF-IDF-stem 
3 Q0 CACM-2273 13  2.4560547765111673 TF-IDF-stem 
3 Q0 CACM-1854 14  2.419669367798622 TF-IDF-stem 
3 Q0 CACM-3073 15  2.419669367798622 TF-IDF-stem 
3 Q0 CACM-2723 16  2.224094488600828 TF-IDF-stem 
3 Q0 CACM-2685 17  2.17770243101876 TF-IDF-stem 
3 Q0 CACM-3059 18  2.17770243101876 TF-IDF-stem 
3 Q0 CACM-2973 19  2.1217588729128627 TF-IDF-stem 
3 Q0 CACM-2289 20  2.1067495610821516 TF-IDF-stem 
3 Q0 CACM-1262 21  2.074002315255962 TF-IDF-stem 
3 Q0 CACM-2366 22  2.046712313759306 TF-IDF-stem 
3 Q0 CACM-2674 23  2.046712313759306 TF-IDF-stem 
3 Q0 CACM-2767 24  2.046712313759306 TF-IDF-stem 
3 Q0 CACM-2963 25  2.046712313759306 TF-IDF-stem 
3 Q0 CACM-3071 26  2.046712313759306 TF-IDF-stem 
3 Q0 CACM-1008 27  1.8147520258489667 TF-IDF-stem 
3 Q0 CACM-1158 28  1.8147520258489667 TF-IDF-stem 
3 Q0 CACM-1341 29  1.8147520258489667 TF-IDF-stem 
3 Q0 CACM-1569 30  1.8147520258489667 TF-IDF-stem 
3 Q0 CACM-1795 31  1.8147520258489667 TF-IDF-stem 
3 Q0 CACM-2311 32  1.8147520258489667 TF-IDF-stem 
3 Q0 CACM-2060 33  1.7792755908806626 TF-IDF-stem 
3 Q0 CACM-1613 34  1.672456725799646 TF-IDF-stem 
3 Q0 CACM-1847 35  1.6373698510074448 TF-IDF-stem 
3 Q0 CACM-1961 36  1.6373698510074448 TF-IDF-stem 
3 Q0 CACM-2200 37  1.6373698510074448 TF-IDF-stem 
3 Q0 CACM-3018 38  1.6373698510074448 TF-IDF-stem 
3 Q0 CACM-3141 39  1.6373698510074448 TF-IDF-stem 
3 Q0 CACM-2557 40  1.615538605779918 TF-IDF-stem 
3 Q0 CACM-3075 41  1.5736946507898544 TF-IDF-stem 
3 Q0 CACM-2175 42  1.5555017364419714 TF-IDF-stem 
3 Q0 CACM-2664 43  1.4518016206791735 TF-IDF-stem 
3 Q0 CACM-2401 44  1.3917646673445827 TF-IDF-stem 
3 Q0 CACM-1386 45  1.3644748758395373 TF-IDF-stem 
3 Q0 CACM-1594 46  1.3644748758395373 TF-IDF-stem 
3 Q0 CACM-2195 47  1.3007996756219469 TF-IDF-stem 
3 Q0 CACM-1539 48  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-1852 49  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-2177 50  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-2701 51  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-2751 52  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-2754 53  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-3094 54  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-3095 55  1.2280273882555837 TF-IDF-stem 
3 Q0 CACM-1409 56  1.209834683899311 TF-IDF-stem 
3 Q0 CACM-1846 57  1.209834683899311 TF-IDF-stem 
3 Q0 CACM-2182 58  1.209834683899311 TF-IDF-stem 
3 Q0 CACM-3194 59  1.209834683899311 TF-IDF-stem 
3 Q0 CACM-1658 60  1.0915799006716298 TF-IDF-stem 
3 Q0 CACM-2851 61  1.037001157627981 TF-IDF-stem 
3 Q0 CACM-2388 62  1.023356156879653 TF-IDF-stem 
3 Q0 CACM-2855 63  1.023356156879653 TF-IDF-stem 
3 Q0 CACM-2838 64  1.0097116286124486 TF-IDF-stem 
3 Q0 CACM-1924 65  0.9824219106044668 TF-IDF-stem 
3 Q0 CACM-3156 66  0.9715062879907035 TF-IDF-stem 
3 Q0 CACM-2692 67  0.9653660849020682 TF-IDF-stem 
3 Q0 CACM-0046 68  0.9073760129244833 TF-IDF-stem 
3 Q0 CACM-1747 69  0.9073760129244833 TF-IDF-stem 
3 Q0 CACM-2080 70  0.9073760129244833 TF-IDF-stem 
3 Q0 CACM-2497 71  0.9073760129244833 TF-IDF-stem 
3 Q0 CACM-2660 72  0.9073760129244833 TF-IDF-stem 
3 Q0 CACM-1957 73  0.8896377954403313 TF-IDF-stem 
3 Q0 CACM-2570 74  0.8896377954403313 TF-IDF-stem 
3 Q0 CACM-0284 75  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-0409 76  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1072 77  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1145 78  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1423 79  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1586 80  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1717 81  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1752 82  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1946 83  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1967 84  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2035 85  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2209 86  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2337 87  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2373 88  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2421 89  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2483 90  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2750 91  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2780 92  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2807 93  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2924 94  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2925 95  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2953 96  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-2997 97  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-3154 98  0.8186849255037224 TF-IDF-stem 
3 Q0 CACM-1603 99  0.7259008103395868 TF-IDF-stem 
3 Q0 CACM-2895 100  0.7259008103395868 TF-IDF-stem 
